Dataset,Method,Accuracy,△acc,F1_Score,Balanced_Accuracy,Leaves,Nodes,Depth,Inference_Time_ms,Inference_Time_Std_ms,n_Features
BanknoteAuth,Base,0.9832329130723292,0.0,0.9830260895852764,0.9830974696464724,27.6,54.2,8.8,0.13999809999631907,0.027541944609878587,4.0
BanknoteAuth,CCP,0.9868772395487724,0.0036443264764431937,0.9867102142962446,0.9865444207593882,23.4,45.8,8.2,0.13595960002135143,0.023859644289336467,4.0
BanknoteAuth,CCP_Modified,0.9475328467153284,-0.03570006635700074,0.9470213400579534,0.9480303337901166,7.6,14.2,4.8,0.13546090000318145,0.03994372892086471,3.0
BanknoteAuth,REP,0.9846874585268747,0.0014545454545454861,0.9845102059816181,0.984745413839968,14.8,28.6,7.0,0.13559550000650233,0.030513021420877966,4.0
BanknoteAuth,MEP,0.9876071665560717,0.004374253483742541,0.9874575971035083,0.9875387701816418,15.4,29.8,7.4,0.13775449999116063,0.035747522203567694,4.0
BanknoteAuth,DepthPruning,0.9708480424684804,-0.012384870603848741,0.9704153199650785,0.9695123979991767,18.8,36.6,6.0,0.14319860001137386,0.03278507572340594,4.0
BreastCancer,Base,0.9104021114733737,0.0,0.9027943264694587,0.9000201467201141,18.8,36.6,8.2,0.13752419998809273,0.03701865703924821,12.6
BreastCancer,CCP,0.9314857941313461,0.021083682657972447,0.925514913456215,0.9206779436307769,11.8,22.6,6.2,0.13530959998320213,0.0379321923355396,7.8
BreastCancer,CCP_Modified,0.9209594783418724,0.01055736686849873,0.9152076957828733,0.9169823202782587,3.2,5.4,3.0,0.12619610001252113,0.03312550505169792,2.2
BreastCancer,REP,0.9314547430523211,0.021052631578947434,0.9261011798160137,0.9241607916231238,5.2,9.4,4.8,0.1319745000103012,0.029599396289896395,5.0
BreastCancer,MEP,0.9332246545567457,0.02282254308337206,0.927974099809739,0.9255692423273493,5.4,9.8,5.0,0.12281099999995604,0.025286590144058606,5.2
BreastCancer,DepthPruning,0.9279925477410339,0.017590436267660214,0.9214975588327297,0.9179750986539391,14.2,27.4,6.0,0.12613799997893693,0.02268864492145143,9.8
