Metric,Method,Test,Statistic,p_value,Holm_p,Significant,Target_Method,Friedman_p,CD
Leaves,Base,Wilcoxon,0.0,0.015625,0.078125,no,SR-CCP,3.5710390298783937e-06,5.12
Leaves,CCP,Wilcoxon,0.0,0.015625,0.0625,no,SR-CCP,3.5710390298783937e-06,5.12
Leaves,DBP,Wilcoxon,0.0,0.015625,0.046875,YES ***,SR-CCP,3.5710390298783937e-06,5.12
Leaves,MEP,Wilcoxon,0.0,0.015625,0.03125,YES ***,SR-CCP,3.5710390298783937e-06,5.12
Leaves,REP,Wilcoxon,0.0,0.015625,0.015625,YES ***,SR-CCP,3.5710390298783937e-06,5.12
Leaves,DBP,Paired t-test,-8.791731808028041,0.00012010174006294721,0.000600508700314736,YES ***,SR-CCP,3.5710390298783937e-06,5.12
Leaves,CCP,Paired t-test,-3.0857161002287583,0.02150526095206576,0.08602104380826305,no,SR-CCP,3.5710390298783937e-06,5.12
Leaves,REP,Paired t-test,-2.680104475575532,0.03653106997450167,0.10959320992350502,no,SR-CCP,3.5710390298783937e-06,5.12
Leaves,MEP,Paired t-test,-2.6595063133996777,0.03754877174863879,0.07509754349727758,no,SR-CCP,3.5710390298783937e-06,5.12
Leaves,Base,Paired t-test,-2.2376191759774,0.06656464479240815,0.06656464479240815,no,SR-CCP,3.5710390298783937e-06,5.12
Nodes,Base,Wilcoxon,0.0,0.015625,0.078125,no,SR-CCP,3.5710390298783937e-06,5.12
Nodes,CCP,Wilcoxon,0.0,0.015625,0.0625,no,SR-CCP,3.5710390298783937e-06,5.12
Nodes,DBP,Wilcoxon,0.0,0.015625,0.046875,YES ***,SR-CCP,3.5710390298783937e-06,5.12
Nodes,MEP,Wilcoxon,0.0,0.015625,0.03125,YES ***,SR-CCP,3.5710390298783937e-06,5.12
Nodes,REP,Wilcoxon,0.0,0.015625,0.015625,YES ***,SR-CCP,3.5710390298783937e-06,5.12
Nodes,DBP,Paired t-test,-8.791731808028041,0.00012010174006294721,0.000600508700314736,YES ***,SR-CCP,3.5710390298783937e-06,5.12
Nodes,CCP,Paired t-test,-3.0857161002287583,0.02150526095206576,0.08602104380826305,no,SR-CCP,3.5710390298783937e-06,5.12
Nodes,REP,Paired t-test,-2.680104475575532,0.03653106997450167,0.10959320992350502,no,SR-CCP,3.5710390298783937e-06,5.12
Nodes,MEP,Paired t-test,-2.6595063133996777,0.03754877174863879,0.07509754349727758,no,SR-CCP,3.5710390298783937e-06,5.12
Nodes,Base,Paired t-test,-2.2376191759774,0.06656464479240815,0.06656464479240815,no,SR-CCP,3.5710390298783937e-06,5.12
Depth,Base,Wilcoxon,0.0,0.015625,0.078125,no,SR-CCP,7.97967497758089e-06,5.12
Depth,CCP,Wilcoxon,0.0,0.015625,0.0625,no,SR-CCP,7.97967497758089e-06,5.12
Depth,DBP,Wilcoxon,0.0,0.015625,0.046875,YES ***,SR-CCP,7.97967497758089e-06,5.12
Depth,MEP,Wilcoxon,0.0,0.015625,0.03125,YES ***,SR-CCP,7.97967497758089e-06,5.12
Depth,REP,Wilcoxon,1.0,0.03125,0.03125,YES ***,SR-CCP,7.97967497758089e-06,5.12
Depth,DBP,Paired t-test,-5.126894452684973,0.0021635745714808268,0.010817872857404133,YES ***,SR-CCP,7.97967497758089e-06,5.12
Depth,CCP,Paired t-test,-4.481072232843838,0.004187599348444441,0.016750397393777764,YES ***,SR-CCP,7.97967497758089e-06,5.12
Depth,Base,Paired t-test,-3.5482957605954755,0.012096942735698566,0.0362908282070957,YES ***,SR-CCP,7.97967497758089e-06,5.12
Depth,MEP,Paired t-test,-3.2592132636981415,0.0172658104756621,0.0345316209513242,YES ***,SR-CCP,7.97967497758089e-06,5.12
Depth,REP,Paired t-test,-2.919669410618582,0.026642769058635114,0.026642769058635114,YES ***,SR-CCP,7.97967497758089e-06,5.12
Features,Base,Wilcoxon,0.0,0.015625,0.078125,no,SR-CCP,4.7688973187823576e-05,5.12
Features,CCP,Wilcoxon,0.0,0.015625,0.0625,no,SR-CCP,4.7688973187823576e-05,5.12
Features,DBP,Wilcoxon,0.0,0.015625,0.046875,YES ***,SR-CCP,4.7688973187823576e-05,5.12
Features,MEP,Wilcoxon,0.0,0.015625,0.03125,YES ***,SR-CCP,4.7688973187823576e-05,5.12
Features,REP,Wilcoxon,0.0,0.015625,0.015625,YES ***,SR-CCP,4.7688973187823576e-05,5.12
Features,DBP,Paired t-test,-5.685330287815306,0.0012771371420382974,0.006385685710191487,YES ***,SR-CCP,4.7688973187823576e-05,5.12
Features,Base,Paired t-test,-3.267068911566157,0.017096819375268354,0.06838727750107342,no,SR-CCP,4.7688973187823576e-05,5.12
Features,CCP,Paired t-test,-3.0473792635928256,0.022587782335542168,0.0677633470066265,no,SR-CCP,4.7688973187823576e-05,5.12
Features,REP,Paired t-test,-2.65392444082808,0.037829736529173236,0.07565947305834647,no,SR-CCP,4.7688973187823576e-05,5.12
Features,MEP,Paired t-test,-2.484714345184046,0.04750100939088321,0.04750100939088321,YES ***,SR-CCP,4.7688973187823576e-05,5.12
