Dataset,Method,Accuracy,F1 score,Leaves,Nodes,Depth,Features,Inference Time (ms) median,Inference Time (ms) std
BanknoteAuth,Base,0.9810457863304578,0.9808224212288172,24.6,48.2,8.6,4.0,0.0444571000116411,0.0206523522698374
BanknoteAuth,CCP,0.981775713337757,0.9815642449238572,23.6,46.2,8.6,4.0,0.044299697765382,0.0216319068933077
BanknoteAuth,SR-CCP,0.9373404114134042,0.9365305183555618,7.2,13.4,4.8,2.8,0.0445929013949353,0.0195117266116047
BanknoteAuth,REP,0.9642786994027872,0.963761166836788,14.0,27.0,6.6,3.4,0.0449222003226168,0.0216314036067727
BanknoteAuth,MEP,0.9642786994027872,0.963761166836788,14.0,27.0,6.6,3.4,0.0447915001132059,0.0219119140363173
BanknoteAuth,DBP,0.9730325149303252,0.9727023172163298,17.8,34.6,6.0,4.0,0.044857998000225,0.0207105395575563
BanknoteAuth,XGBoost,0.9956230922362308,0.995574028627205,1001.6,1805.6,2.0434683304183245,4.0,0.3313630986667704,0.0865555890655615
BreastCancer,Base,0.9209284272628476,0.914839243410982,16.0,31.0,7.4,11.6,0.0427712009695824,0.0198296269035747
BreastCancer,CCP,0.9332091290172334,0.9284973419183242,10.2,19.4,5.4,7.2,0.0425529993663076,0.0213562485769907
BreastCancer,SR-CCP,0.9315013196708586,0.92675315133371,3.8,6.6,3.2,2.8,0.0430871987191494,0.0180369178174989
BreastCancer,REP,0.9297469337059464,0.9249925361275142,5.0,9.0,4.4,5.0,0.0431961001595482,0.018303847727866
BreastCancer,MEP,0.9315013196708586,0.926798265513059,5.4,9.8,4.4,5.6,0.0430929001595359,0.0191865114933882
BreastCancer,DBP,0.9279770222015216,0.9226994289113928,13.4,25.8,6.0,9.4,0.0431071006460115,0.0197597326911632
BreastCancer,XGBoost,0.9595870206489676,0.9568733221725534,893.4,1581.0,2.203909018008472,29.4,0.2056116994936019,0.0666139783365823
HeartDisease,Base,0.7222222222222222,0.7159393660120605,30.6,60.2,9.0,10.8,0.0413009991461876,0.0207963323062854
HeartDisease,CCP,0.7481481481481481,0.7432959748221781,12.8,24.6,6.0,6.6,0.0411653985793236,0.0196307645044162
HeartDisease,SR-CCP,0.7111111111111111,0.6938428797463427,4.0,7.0,3.4,2.6,0.0420339005358982,0.0185173604887854
HeartDisease,REP,0.6925925925925925,0.6812820663710044,2.8,4.6,2.4,5.6,0.0420609023422002,0.0195341220530794
HeartDisease,MEP,0.6962962962962963,0.6879907498443938,3.4,5.8,2.8,6.2,0.0422349017753731,0.0179517620493418
HeartDisease,DBP,0.7444444444444445,0.7353958540006674,20.6,40.2,6.0,9.4,0.0421900003857445,0.0180655280287004
HeartDisease,XGBoost,0.7962962962962962,0.793396332872496,535.6,961.2,2.5628066957119926,11.8,0.1245878993358928,0.0562365608841278
Ionosphere,Base,0.8888531187122736,0.880145662714192,18.2,35.4,10.8,12.6,0.0430053005402442,0.0209448265806032
Ionosphere,CCP,0.9030583501006036,0.8930868991949446,9.8,18.6,6.8,7.0,0.0427002989454194,0.0204112071609483
Ionosphere,SR-CCP,0.9116297786720322,0.9033838779984128,4.0,7.0,3.8,2.8,0.0438348994066473,0.0189549667432388
Ionosphere,REP,0.9030985915492956,0.8943540246005834,3.0,5.0,3.0,4.6,0.0437502007116563,0.0204408887855417
Ionosphere,MEP,0.9002414486921528,0.8897692292789461,3.6,6.2,3.6,5.2,0.0431151987868361,0.019606040712839
Ionosphere,DBP,0.8973440643863178,0.8857538271171641,9.8,18.6,6.0,7.4,0.0435998983448371,0.0201214276807428
Ionosphere,XGBoost,0.9230181086519114,0.9144986746803848,625.2,1125.4,2.574038241383509,30.6,0.1525331019365694,0.054388710738164
KC2,Base,0.8314285714285713,0.742778098912661,49.0,97.0,14.2,18.2,0.0441501011664513,0.0201130180983773
KC2,CCP,0.841025641025641,0.7319047207729582,4.6,8.2,3.8,3.0,0.0431619984738063,0.0207384539903789
KC2,SR-CCP,0.8524542124542125,0.7403776111360004,2.4,3.8,2.4,1.4,0.0439179995737504,0.0196186691689722
KC2,REP,0.8181318681318681,0.629790246212808,1.6,2.2,1.6,3.2,0.0437971008068416,0.018422793539446
KC2,MEP,0.821941391941392,0.6334429064794873,2.2,3.4,2.2,4.4,0.0435780988482292,0.0196639537478483
KC2,DBP,0.8256593406593407,0.6783536251458333,18.6,36.2,6.0,12.0,0.0441456992120947,0.0196069857941279
KC2,XGBoost,0.842930402930403,0.7150532809063004,809.0,1420.0,1.8773821138211384,19.2,0.1791587994375731,0.061103082466051
QSARBiodeg,Base,0.8113744075829384,0.7887675245746509,76.2,151.4,13.6,26.0,0.0482033989101182,0.0218733895640987
QSARBiodeg,CCP,0.8322274881516588,0.8117429366046032,29.2,57.4,9.2,14.8,0.046954299614299,0.0213343305392253
QSARBiodeg,SR-CCP,0.8123222748815166,0.7895078909684118,7.2,13.4,4.8,5.4,0.046860799920978,0.0214243551785008
QSARBiodeg,REP,0.8037914691943128,0.7710958171642495,8.4,15.8,7.0,12.6,0.0475629007269162,0.0212166519493775
QSARBiodeg,MEP,0.8170616113744076,0.7907620415234076,10.8,20.6,7.2,15.2,0.0474905020382721,0.0204931517110465
QSARBiodeg,DBP,0.8350710900473934,0.8146090226018329,24.0,47.0,6.0,14.2,0.0474178013973869,0.0228567501642395
QSARBiodeg,XGBoost,0.8606635071090046,0.8406340670116907,1400.2,2715.6,5.500842815002107,35.0,0.2445184989483095,0.0696082450927818
SpamBase,Base,0.9002409951376101,0.8957334819345707,210.2,419.4,31.2,48.6,0.0870307994773611,0.0297997650431776
SpamBase,CCP,0.9106722371713164,0.9059078406114428,57.0,113.0,13.8,28.4,0.0767371995607391,0.0285185854259987
SpamBase,SR-CCP,0.8769808336873908,0.8681801945680145,5.6,10.2,4.4,4.4,0.0722716002201195,0.0249579726620548
SpamBase,REP,0.8928494547514516,0.8862142086969218,14.0,27.0,7.2,23.6,0.0736694004444871,0.0241115553449421
SpamBase,MEP,0.8943728461502148,0.8879763713975313,21.6,42.2,10.8,28.2,0.0737850998120848,0.0251882649482061
SpamBase,DBP,0.9024137279894257,0.8961173273341185,23.2,45.4,6.0,15.8,0.0736644993594382,0.027912452873832
SpamBase,XGBoost,0.9526195534154748,0.9502218814061144,4130.2,8056.4,6.420134228187919,51.4,1.8598863985971548,0.2498367092151875
