Dataset,Config,Accuracy,F1,Balanced_Acc,Depth,Nodes,Leaves,n_Features
BanknoteAuth,SR-CCP (full),0.9314983410749834,0.93027693207009,0.9286517281632239,5.0,12.6,6.8,2.8
BanknoteAuth,No Depth,0.9438858659588586,0.9431222450700385,0.9429355089749446,5.4,15.8,8.4,3.0
BanknoteAuth,No Feature,0.9825029860650298,0.9822988239408575,0.9826056522695359,8.4,43.0,22.0,4.0
BanknoteAuth,No Penalties,0.981775713337757,0.9815642449238572,0.9819520574982941,8.6,46.2,23.6,4.0
BreastCancer,SR-CCP (full),0.9297469337059463,0.9246798635523484,0.9230487576622526,3.2,6.2,3.6,2.6
BreastCancer,No Depth,0.9385188635305077,0.9344193287459117,0.9347320356246003,4.2,11.4,6.2,4.6
BreastCancer,No Feature,0.935010091600683,0.930470441624735,0.9300808728339026,3.6,9.4,5.2,4.0
BreastCancer,No Penalties,0.9332091290172334,0.9284973419183242,0.9276445494673468,5.4,19.4,10.2,7.2
HeartDisease,SR-CCP (full),0.7185185185185186,0.6997791170651384,0.7025,2.8,5.4,3.2,1.8
HeartDisease,No Depth,0.737037037037037,0.7257431264593459,0.7275,4.6,11.4,6.2,3.8
HeartDisease,No Feature,0.7481481481481481,0.7384672030891819,0.7383333333333334,4.4,12.2,6.6,4.4
HeartDisease,No Penalties,0.7333333333333333,0.7272455668967701,0.7291666666666666,5.6,23.8,12.4,6.2
Ionosphere,SR-CCP (full),0.9030583501006036,0.8923895126423034,0.8861025641025642,4.2,8.2,4.6,3.4
Ionosphere,No Depth,0.9087726358148893,0.8989456355236081,0.8941025641025642,5.4,11.8,6.4,4.8
Ionosphere,No Feature,0.9059154929577465,0.8956342802122528,0.890102564102564,6.2,15.0,8.0,5.8
Ionosphere,No Penalties,0.9030583501006036,0.8930868991949446,0.8896581196581197,6.8,18.6,9.8,7.0
KC2,SR-CCP (full),0.8524542124542125,0.7403776111360004,0.7370442810201847,2.4,3.8,2.4,1.4
KC2,No Depth,0.8524542124542125,0.7403776111360004,0.7370442810201847,2.4,3.8,2.4,1.4
KC2,No Feature,0.841025641025641,0.7384506827645445,0.7431779064309184,2.8,5.4,3.2,2.2
KC2,No Penalties,0.841025641025641,0.7319047207729582,0.7289495644917332,3.8,8.2,4.6,3.0
QSARBiodeg,SR-CCP (full),0.8123222748815166,0.7914678492592737,0.7944106324598269,4.8,14.2,7.6,5.6
QSARBiodeg,No Depth,0.8180094786729859,0.7978354163725434,0.8000115682102205,5.2,18.6,9.8,6.6
QSARBiodeg,No Feature,0.833175355450237,0.8121587800345171,0.8107459746488525,9.0,46.6,23.8,14.4
QSARBiodeg,No Penalties,0.8284360189573461,0.8077884273025555,0.8078687110673635,9.2,58.6,29.8,15.2
SpamBase,SR-CCP (full),0.8813286597743474,0.8737432605941133,0.8686964769082779,4.6,11.8,6.4,5.0
SpamBase,No Depth,0.8939364112731907,0.8871051183549052,0.8814299760341582,6.0,17.8,9.4,8.0
SpamBase,No Feature,0.905457206250295,0.8999272810948622,0.896241301460812,8.8,41.4,21.2,13.8
SpamBase,No Penalties,0.910020063258273,0.9052190740534403,0.9029839221792793,13.0,101.8,51.4,26.6
