Dataset,Config,Accuracy,F1,Leaves,Nodes,Depth,n_Features
BanknoteAuth,SR-CCP (full),0.98742,0.98727,8.4,15.8,5.2,3.0
BanknoteAuth,No Depth,0.98142,0.98127,12.6,24.2,5.4,3.0
BanknoteAuth,No Feature,0.96942,0.96927,22.0,43.0,8.4,4.0
BanknoteAuth,No Penalties,0.98653,0.98639,22.8,44.6,8.0,3.9
BreastCancer,SR-CCP (full),0.94377,0.9396,3.2,5.4,3.0,2.2
BreastCancer,No Depth,0.92577,0.92168,6.2,11.4,4.2,4.6
BreastCancer,No Feature,0.93877,0.93462,5.2,9.4,3.6,4.0
BreastCancer,No Penalties,0.93128,0.92532,11.4,21.8,6.1,7.5
HeartDisease,SR-CCP (full),0.7963,0.79203,6.0,11.0,4.4,4.0
HeartDisease,No Depth,0.7443,0.74031,6.2,11.4,4.6,3.8
HeartDisease,No Feature,0.7643,0.7602,6.6,12.2,4.4,4.4
HeartDisease,No Penalties,0.7856,0.78184,24.8,48.6,7.5,9.6
Ionosphere,SR-CCP (full),0.91653,0.90618,3.4,5.8,3.4,2.4
Ionosphere,No Depth,0.90753,0.89728,6.4,11.8,5.4,4.8
Ionosphere,No Feature,0.90253,0.89234,8.0,15.0,6.2,5.8
Ionosphere,No Penalties,0.912,0.90388,12.0,23.0,7.4,9.0
KC2,SR-CCP (full),0.8506,0.77328,2.0,3.0,2.0,1.0
KC2,No Depth,0.8476,0.77055,2.4,3.8,2.4,1.4
KC2,No Feature,0.8386,0.76237,3.2,5.4,2.8,2.2
KC2,No Penalties,0.8597,0.77787,15.4,29.8,6.5,6.6
QSARBiodeg,SR-CCP (full),0.85024,0.82896,5.8,10.6,4.4,4.6
QSARBiodeg,No Depth,0.82024,0.79971,9.8,18.6,5.2,6.6
QSARBiodeg,No Feature,0.83224,0.81141,23.8,46.6,9.0,14.4
QSARBiodeg,No Penalties,0.84862,0.82908,37.2,73.4,10.0,18.5
SpamBase,SR-CCP (full),0.91784,0.91325,6.4,11.8,4.6,5.2
SpamBase,No Depth,0.90484,0.90032,9.4,17.8,6.0,8.0
SpamBase,No Feature,0.90984,0.90529,21.2,41.4,8.8,13.8
SpamBase,No Penalties,0.92122,0.9173,70.6,140.2,15.9,29.8
