Dataset,Method,Accuracy,F1 score,Leaves,Nodes,Depth,Features,Inference Time (ms) median,Inference Time (ms) std
BanknoteAuth,Base,0.98323,0.98303,27.6,54.2,8.8,4,0.06566,0.00285
BanknoteAuth,CCP,0.98688,0.98671,23.4,45.8,8.2,4,0.06568,0.00263
BanknoteAuth,SR-CCP,0.98742,0.98727,8.4,15.8,5.2,3,0.06437,0.00243
BanknoteAuth,REP,0.98469,0.98451,14.8,28.6,7.0,4,0.06513,0.00343
BanknoteAuth,MEP,0.98761,0.98746,15.4,29.8,7.4,4,0.06504,0.00255
BanknoteAuth,DBP,0.97085,0.97042,18.8,36.6,6.0,4,0.06519,0.00236
BreastCancer,Base,0.91040,0.90279,18.8,36.6,8.2,12.6,0.06282,0.00342
BreastCancer,CCP,0.93149,0.92551,11.8,22.6,6.2,7.8,0.06248,0.00269
BreastCancer,SR-CCP,0.94377,0.93960,3.2,5.4,3.0,2.2,0.06223,0.00260
BreastCancer,REP,0.93145,0.92610,5.2,9.4,4.8,5,0.06228,0.00265
BreastCancer,MEP,0.93322,0.92797,5.4,9.8,5.0,5.2,0.06260,0.00256
BreastCancer,DBP,0.92799,0.92150,14.2,27.4,6.0,9.8,0.06252,0.00237
HeartDisease,Base,0.72593,0.72199,37.0,73.0,9.2,11.4,0.05944,0.00317
HeartDisease,CCP,0.78519,0.78146,25.6,50.2,7.8,9.8,0.05942,0.00322
HeartDisease,SR-CCP,0.79630,0.79203,6.0,11.0,4.4,4,0.05909,0.00272
HeartDisease,REP,0.75556,0.73687,6.4,11.8,4.2,6.4,0.05924,0.00245
HeartDisease,MEP,0.77407,0.75384,7.4,13.8,4.8,6.4,0.05936,0.00210
HeartDisease,DBP,0.73704,0.73180,24.2,47.4,6.0,10.6,0.05939,0.00247
Ionosphere,Base,0.89742,0.88878,20.2,39.4,10.2,14.6,0.06112,0.00323
Ionosphere,CCP,0.91167,0.90360,12.6,24.2,7.6,9.4,0.06098,0.00218
Ionosphere,SR-CCP,0.91653,0.90618,3.4,5.8,3.4,2.4,0.06086,0.00220
Ionosphere,REP,0.91167,0.90412,6.0,11.0,5.4,5.6,0.06089,0.00256
Ionosphere,MEP,0.92024,0.91339,7.2,13.4,6.4,6.8,0.06094,0.00199
Ionosphere,DBP,0.89738,0.88544,12.8,24.6,6.0,9.8,0.06098,0.00219
KC2,Base,0.81806,0.71764,57.4,113.8,14.0,19.2,0.06344,0.00296
KC2,CCP,0.86015,0.77822,15.8,30.6,6.6,6.8,0.06248,0.00265
KC2,SR-CCP,0.85060,0.77328,2.0,3.0,2.0,1,0.06187,0.00254
KC2,REP,0.83716,0.65421,3.0,5.0,2.6,5.8,0.06192,0.00221
KC2,MEP,0.83716,0.65421,3.0,5.0,2.6,6.8,0.06203,0.00183
KC2,DBP,0.81614,0.68789,21.0,41.0,6.0,12.2,0.06261,0.00220
QSARBiodeg,Base,0.81706,0.79614,101.2,201.4,15.4,30.4,0.07147,0.00367
QSARBiodeg,CCP,0.84834,0.82883,38.2,75.4,10.2,18.8,0.06962,0.00236
QSARBiodeg,SR-CCP,0.85024,0.82896,5.8,10.6,4.4,4.6,0.06804,0.00225
QSARBiodeg,REP,0.83128,0.80521,14.2,27.4,8.8,17.4,0.06879,0.00223
QSARBiodeg,MEP,0.84929,0.82760,17.6,34.2,9.2,19,0.06875,0.00262
QSARBiodeg,DBP,0.83128,0.81160,25.6,50.2,6.0,16.8,0.06886,0.00329
SpamBase,Base,0.90633,0.90212,239.4,477.8,29.0,46.6,0.14532,0.00516
SpamBase,CCP,0.92154,0.91758,71.4,141.8,16.2,30.2,0.12843,0.00437
SpamBase,SR-CCP,0.91784,0.91325,6.4,11.8,4.6,5.2,0.11407,0.00442
SpamBase,REP,0.90894,0.90382,20.2,39.4,10.4,23.2,0.11735,0.00445
SpamBase,MEP,0.91480,0.90981,24.8,48.6,11.4,29.2,0.11802,0.00417
SpamBase,DBP,0.90654,0.90064,23.4,45.8,6.0,14.2,0.11859,0.00569
